candidate_id,rank,score,reasoning
CAND_0027691,14,34.8854,Production FAISS work described in an earlier role at Vedantu hits the vector-database must-have directly; 6.5 yrs overall with 76 mo inside product ML teams.
CAND_0007009,15,34.6019,Production Pinecone work described at Wysa hits the vector-database must-have directly; 7.9 yrs overall with 94 mo inside product ML teams.
CAND_0052682,16,34.5487,Production Pinecone work described in an earlier role at Salesforce hits the vector-database must-have directly; 6.6 yrs overall with 78 mo inside product ML teams. Location fit for hybrid Pune/Noida needs a conversation.
CAND_0046525,17,34.3810,Production FAISS work described in an earlier role at LinkedIn hits the vector-database must-have directly; 6.1 yrs overall with 73 mo inside product ML teams.
CAND_0044855,18,34.0605,Production Pinecone work described at Flipkart hits the vector-database must-have directly; 6.6 yrs overall with 78 mo inside product ML teams.
CAND_0064326,19,33.4683,Production Pinecone work described in an earlier role at Freshworks hits the vector-database must-have directly; 7.6 yrs overall with 91 mo inside product ML teams.
CAND_0028793,20,33.1585,Production FAISS work described at Google hits the vector-database must-have directly; 7.2 yrs overall with 85 mo inside product ML teams. Main friction: 120-day notice period.
CAND_0077337,21,33.1061,Cites NDCG for ranking quality in shipped work — exactly the offline-evaluation rigor this role centers on. Currently Staff Machine Learning Engineer with 7.0 yrs of experience.
CAND_0006567,22,32.9357,Cites A/B testing for ranking quality in shipped work — exactly the offline-evaluation rigor this role centers on. Currently Senior AI Engineer with 7.9 yrs of experience.
CAND_0011687,23,32.7746,Production Pinecone work described at Niramai hits the vector-database must-have directly; 7.8 yrs overall with 92 mo inside product ML teams. Location fit for hybrid Pune/Noida needs a conversation.
CAND_0060072,24,32.6411,Cites A/B testing for ranking quality in shipped work — exactly the offline-evaluation rigor this role centers on. Currently Staff Machine Learning Engineer with 5.7 yrs of experience. Main friction: 90-day notice period.
CAND_0011432,25,32.6301,Production Pinecone work described in an earlier role at Krutrim hits the vector-database must-have directly; 7.6 yrs overall with 90 mo inside product ML teams. Location fit for hybrid Pune/Noida needs a conversation.
CAND_0008425,26,32.5679,Production Pinecone work described in an earlier role at Amazon hits the vector-database must-have directly; 7.8 yrs overall with 92 mo inside product ML teams. Main friction: 90-day notice period.
CAND_0042029,27,32.3179,Production Pinecone work described in an earlier role at Observe.AI hits the vector-database must-have directly; 6.5 yrs overall with 78 mo inside product ML teams.
CAND_0062247,28,31.7915,Production FAISS work described at Google hits the vector-database must-have directly; 7.3 yrs overall with 87 mo inside product ML teams.
CAND_0017960,29,31.5861,Production Pinecone work described in an earlier role at Sarvam AI hits the vector-database must-have directly; 7.7 yrs overall with 91 mo inside product ML teams.
CAND_0041669,30,31.4044,Production Pinecone work described in an earlier role at Mad Street Den hits the vector-database must-have directly; 8.0 yrs overall with 95 mo inside product ML teams.
CAND_0087630,31,31.3928,Cites A/B testing for ranking quality in shipped work — exactly the offline-evaluation rigor this role centers on. Currently AI Engineer with 7.2 yrs of experience.
CAND_0074735,32,31.1834,Production Pinecone work described at Rephrase.ai hits the vector-database must-have directly; 5.5 yrs overall with 65 mo inside product ML teams. Main friction: 90-day notice period.
CAND_0069905,33,31.1322,Production FAISS work described at Sarvam AI hits the vector-database must-have directly; 6.6 yrs overall with 78 mo inside product ML teams. Main friction: 90-day notice period.
CAND_0039383,34,30.9680,Production FAISS work described in an earlier role at Swiggy hits the vector-database must-have directly; 7.1 yrs overall with 84 mo inside product ML teams. Main friction: 90-day notice period.
CAND_0091909,35,30.7183,Cites A/B testing for ranking quality in shipped work — exactly the offline-evaluation rigor this role centers on. Currently Machine Learning Engineer with 6.9 yrs of experience.
CAND_0098846,36,30.4422,Production Pinecone work described in an earlier role at Swiggy hits the vector-database must-have directly; 7.6 yrs overall with 90 mo inside product ML teams.
CAND_0086022,37,30.4310,Production FAISS work described at Sarvam AI hits the vector-database must-have directly; 5.3 yrs overall with 63 mo inside product ML teams.
CAND_0096142,38,30.2467,Cites A/B testing for ranking quality in shipped work — exactly the offline-evaluation rigor this role centers on. Currently Applied ML Engineer with 5.0 yrs of experience. Main friction: 120-day notice period.
CAND_0005649,39,30.1090,Production FAISS work described at Sarvam AI hits the vector-database must-have directly; 7.4 yrs overall with 88 mo inside product ML teams. Main friction: 90-day notice period.
CAND_0081053,40,30.0567,Cites A/B testing for ranking quality in shipped work — exactly the offline-evaluation rigor this role centers on. Currently NLP Engineer with 5.4 yrs of experience. Main friction: 90-day notice period.
CAND_0083307,41,30.0389,Production Pinecone work described at CRED hits the vector-database must-have directly; 7.8 yrs overall with 92 mo inside product ML teams. Main friction: 120-day notice period.
CAND_0070398,42,29.8269,Production FAISS work described at Genpact AI hits the vector-database must-have directly; 7.2 yrs overall with 85 mo inside product ML teams. Main friction: 120-day notice period.
CAND_0078002,43,29.7470,Cites A/B testing for ranking quality in shipped work — exactly the offline-evaluation rigor this role centers on. Currently Machine Learning Engineer with 6.3 yrs of experience. Location fit for hybrid Pune/Noida needs a conversation.
CAND_0091534,44,29.7089,Production FAISS work described in an earlier role at Adobe hits the vector-database must-have directly; 16.6 yrs overall with 85 mo inside product ML teams.
CAND_0016163,45,29.5375,Production FAISS work described in an earlier role at Verloop.io hits the vector-database must-have directly; 6.7 yrs overall with 79 mo inside product ML teams. Main friction: 120-day notice period.
CAND_0007412,46,29.5369,Production Pinecone work described at Zoho hits the vector-database must-have directly; 7.4 yrs overall with 87 mo inside product ML teams. Main friction: 120-day notice period.
CAND_0041610,47,29.5229,Production Pinecone work described in an earlier role at InMobi hits the vector-database must-have directly; 6.7 yrs overall with 79 mo inside product ML teams.
CAND_0009691,48,29.5031,Cites A/B testing for ranking quality in shipped work — exactly the offline-evaluation rigor this role centers on. Currently Applied ML Engineer with 6.2 yrs of experience. Main friction: 120-day notice period.
CAND_0005538,49,29.3945,Cites A/B testing for ranking quality in shipped work — exactly the offline-evaluation rigor this role centers on. Currently Senior AI Engineer with 5.9 yrs of experience. Main friction: 90-day notice period.
CAND_0068811,50,29.3418,Production Pinecone work described in an earlier role at Yellow.ai hits the vector-database must-have directly; 8.0 yrs overall with 95 mo inside product ML teams.
CAND_0037566,51,29.3317,Production Pinecone work described at LinkedIn hits the vector-database must-have directly; 6.9 yrs overall with 82 mo inside product ML teams.
CAND_0070525,52,29.3074,"Brings LLM-adaptation depth (LoRA/PEFT-style fine-tuning) on top of Recommendation Systems, covering both the retrieval and fine-tuning sides of the JD; 64 mo product ML."
CAND_0030953,53,29.1658,Production FAISS work described in an earlier role at Vedantu hits the vector-database must-have directly; 7.8 yrs overall with 92 mo inside product ML teams. Location fit for hybrid Pune/Noida needs a conversation.
CAND_0061257,54,29.0258,"Brings LLM-adaptation depth (LoRA/PEFT-style fine-tuning) on top of Feature Engineering, covering both the retrieval and fine-tuning sides of the JD; 95 mo product ML."
CAND_0064331,55,28.9419,"Brings LLM-adaptation depth (LoRA/PEFT-style fine-tuning) on top of OpenSearch, covering both the retrieval and fine-tuning sides of the JD; 49 mo product ML. No public GitHub to verify code externally."
CAND_0050876,56,28.9346,Cites A/B testing for ranking quality in shipped work — exactly the offline-evaluation rigor this role centers on. Currently Applied ML Engineer with 6.0 yrs of experience. Main friction: 90-day notice period.
CAND_0018549,57,28.7527,Cites A/B testing for ranking quality in shipped work — exactly the offline-evaluation rigor this role centers on. Currently Recommendation Systems Engineer with 6.8 yrs of experience.
CAND_0081852,58,28.7220,Production Pinecone work described at Mad Street Den hits the vector-database must-have directly; 5.9 yrs overall with 70 mo inside product ML teams.
CAND_0030784,59,28.4947,"Brings LLM-adaptation depth (LoRA/PEFT-style fine-tuning) on top of Embeddings, covering both the retrieval and fine-tuning sides of the JD; 52 mo product ML. Main friction: 90-day notice period."
CAND_0082489,60,28.4580,"Brings LLM-adaptation depth (LoRA/PEFT-style fine-tuning) on top of Weaviate, covering both the retrieval and fine-tuning sides of the JD; 63 mo product ML. Main friction: 90-day notice period."
CAND_0037980,61,28.2380,"Adjacent rather than exact fit: mentions A/B testing in past work but with thinner production-retrieval depth than the top of this list; 9.0 yrs total, 107 mo in product ML roles."
CAND_0067643,62,28.1806,"Back-half pick — AI Research Engineer with a NLP foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 71 mo of product-company experience keeps them shortlist-worthy."
CAND_0027801,63,28.1406,"Adjacent rather than exact fit: mentions FAISS in past work but with thinner production-retrieval depth than the top of this list; 7.4 yrs total, 87 mo in product ML roles. Main friction: 120-day notice period."
CAND_0010149,64,28.0247,"Back-half pick — ML Engineer with a Milvus foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 69 mo of product-company experience keeps them shortlist-worthy. Main friction: 90-day notice period."
CAND_0089552,65,28.0153,"Adjacent rather than exact fit: mentions Pinecone in past work but with thinner production-retrieval depth than the top of this list; 6.0 yrs total, 71 mo in product ML roles. Main friction: 120-day notice period."
CAND_0087006,66,27.9751,"Back-half pick — Senior Software Engineer (ML) with a Information Retrieval foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 68 mo of product-company experience keeps them shortlist-worthy. Location fit for hybrid Pune/Noida needs a conversation."
CAND_0096104,67,27.8508,"Back-half pick — AI Specialist with a Hugging Face Transformers foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 83 mo of product-company experience keeps them shortlist-worthy."
CAND_0060835,68,27.8179,"Back-half pick — Senior Software Engineer (ML) with a Embeddings foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 79 mo of product-company experience keeps them shortlist-worthy. Main friction: 90-day notice period."
CAND_0082086,69,27.7705,"Back-half pick — Senior Software Engineer (ML) with a FAISS foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 71 mo of product-company experience keeps them shortlist-worthy."
CAND_0033861,70,27.7533,"Adjacent rather than exact fit: mentions NDCG in past work but with thinner production-retrieval depth than the top of this list; 8.0 yrs total, 95 mo in product ML roles. Location fit for hybrid Pune/Noida needs a conversation."
CAND_0099401,71,27.6927,"Adjacent rather than exact fit: mentions A/B testing in past work but with thinner production-retrieval depth than the top of this list; 7.7 yrs total, 90 mo in product ML roles. Main friction: 90-day notice period."
CAND_0005509,72,27.6689,"Back-half pick — Data Scientist with a Feature Engineering foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 70 mo of product-company experience keeps them shortlist-worthy."
CAND_0093912,73,27.6095,"Adjacent rather than exact fit: mentions FAISS in past work but with thinner production-retrieval depth than the top of this list; 5.3 yrs total, 62 mo in product ML roles. Location fit for hybrid Pune/Noida needs a conversation."
CAND_0012988,74,27.5224,"Back-half pick — Senior Software Engineer (ML) with a Hugging Face Transformers foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 51 mo of product-company experience keeps them shortlist-worthy."
CAND_0073883,75,27.4820,"Back-half pick — AI Specialist with a OpenSearch foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 62 mo of product-company experience keeps them shortlist-worthy. Main friction: 90-day notice period."
CAND_0093331,76,27.4495,"Adjacent rather than exact fit: mentions FAISS in past work but with thinner production-retrieval depth than the top of this list; 16.1 yrs total, 86 mo in product ML roles."
CAND_0010541,77,27.2724,"Back-half pick — AI Research Engineer with a NLP foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 74 mo of product-company experience keeps them shortlist-worthy."
CAND_0092255,78,27.2338,"Back-half pick — ML Engineer with a RAG foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 48 mo of product-company experience keeps them shortlist-worthy."
CAND_0077285,79,27.2327,"Adjacent rather than exact fit: mentions Pinecone in past work but with thinner production-retrieval depth than the top of this list; 5.5 yrs total, 65 mo in product ML roles. Location fit for hybrid Pune/Noida needs a conversation."
CAND_0075249,80,27.2280,"Adjacent rather than exact fit: mentions FAISS in past work but with thinner production-retrieval depth than the top of this list; 6.2 yrs total, 74 mo in product ML roles. Location fit for hybrid Pune/Noida needs a conversation."
CAND_0015528,81,27.2191,"Adjacent rather than exact fit: mentions A/B testing in past work but with thinner production-retrieval depth than the top of this list; 7.4 yrs total, 87 mo in product ML roles. Location fit for hybrid Pune/Noida needs a conversation."
CAND_0061265,82,27.1559,"Adjacent rather than exact fit: mentions FAISS in past work but with thinner production-retrieval depth than the top of this list; 6.6 yrs total, 78 mo in product ML roles. Main friction: 120-day notice period."
CAND_0024147,83,27.0990,"Back-half pick — ML Engineer with a Feature Engineering foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 70 mo of product-company experience keeps them shortlist-worthy. Location fit for hybrid Pune/Noida needs a conversation."
CAND_0035879,84,26.9549,"Back-half pick — AI Research Engineer with a BM25 foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 54 mo of product-company experience keeps them shortlist-worthy. Main friction: 120-day notice period."
CAND_0016659,85,26.9377,"Back-half pick — ML Engineer with a Weaviate foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 52 mo of product-company experience keeps them shortlist-worthy. Location fit for hybrid Pune/Noida needs a conversation."
CAND_0043228,86,26.9282,"Adjacent rather than exact fit: mentions FAISS in past work but with thinner production-retrieval depth than the top of this list; 6.8 yrs total, 80 mo in product ML roles. Location fit for hybrid Pune/Noida needs a conversation."
CAND_0008239,87,26.8305,"Back-half pick — AI Engineer with a Milvus foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 48 mo of product-company experience keeps them shortlist-worthy."
CAND_0095528,88,26.7421,"Adjacent rather than exact fit: mentions A/B testing in past work but with thinner production-retrieval depth than the top of this list; 5.3 yrs total, 63 mo in product ML roles. No public GitHub to verify code externally."
CAND_0086151,89,26.6252,"Adjacent rather than exact fit: mentions FAISS in past work but with thinner production-retrieval depth than the top of this list; 7.7 yrs total, 91 mo in product ML roles. Main friction: 120-day notice period."
CAND_0066999,90,26.5541,"Back-half pick — Recommendation Systems Engineer with a FAISS foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 70 mo of product-company experience keeps them shortlist-worthy."
CAND_0073314,91,26.5515,"Back-half pick — Senior Software Engineer (ML) with a Feature Engineering foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 61 mo of product-company experience keeps them shortlist-worthy."
CAND_0009024,92,26.4541,"Adjacent rather than exact fit: mentions A/B testing in past work but with thinner production-retrieval depth than the top of this list; 5.2 yrs total, 61 mo in product ML roles. Location fit for hybrid Pune/Noida needs a conversation."
CAND_0041402,93,26.3920,"Back-half pick — AI Specialist with a RAG foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 75 mo of product-company experience keeps them shortlist-worthy. Location fit for hybrid Pune/Noida needs a conversation."
CAND_0032216,94,26.3452,"Back-half pick — ML Engineer with a Information Retrieval foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 72 mo of product-company experience keeps them shortlist-worthy."
CAND_0098952,95,26.3440,"Back-half pick — AI Research Engineer with a Recommendation Systems foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 65 mo of product-company experience keeps them shortlist-worthy."
CAND_0083852,96,26.3382,"Back-half pick — Data Scientist with a Pinecone foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 71 mo of product-company experience keeps them shortlist-worthy. Main friction: 90-day notice period."
CAND_0040178,97,26.3253,"Back-half pick — ML Engineer with a OpenSearch foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 59 mo of product-company experience keeps them shortlist-worthy."
CAND_0052195,98,26.3174,"Back-half pick — Computer Vision Engineer with a Sentence Transformers foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 74 mo of product-company experience keeps them shortlist-worthy."
CAND_0086062,99,26.3114,"Back-half pick — ML Engineer with a Pinecone foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 48 mo of product-company experience keeps them shortlist-worthy. Main friction: 90-day notice period."
CAND_0003609,100,26.2203,"Back-half pick — Senior Software Engineer (ML) with a Fine-tuning LLMs foundation; embeddings/retrieval depth sits below the top-tier cutoff, though 72 mo of product-company experience keeps them shortlist-worthy. Location fit for hybrid Pune/Noida needs a conversation."
